,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
856,Rated Blitz game,2021.02.25,Mister_Sim,Jay_1999,Won,1906,-4,2017,4,Jay_1999,2017,Mister_Sim,1906,Won against very high rated player,A30,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 13:46,Standard,Mixed of opening I usually not played,2021,13,afternoon,afternoon
857,Rated Blitz game,2021.02.25,QuidQuidSemper,Jay_1999,Lost,2163,4,2020,-3,QuidQuidSemper,2163,Jay_1999,2020,Lost against very high rated player,D00,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 10:51,Standard,Queen's Pawn' Opening,2020,10,morning,morning
858,Rated Blitz game,2021.02.25,Jay_1999,QuidQuidSemper,Lost,2024,-4,2159,4,QuidQuidSemper,2159,Jay_1999,2024,Lost against very high rated player,C71,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 10:43,Standard,Ruy Lopez (Spanish Opening),2024,10,morning,morning
859,Rated Bullet game,2021.02.25,Jay_1999,magsarjav,Won,1819,16,1791,-6,Jay_1999,1819,magsarjav,1791,Won against Similar Rating,B06,Time forfeit,bullet,2021.02.25,2/10/2023 8:53,Standard,Mixed of opening I usually not played,1835,8,morning,morning
860,Rated Bullet game,2021.02.25,Jay_1999,Ghuchi,Won,1800,19,1798,-5,Jay_1999,1800,Ghuchi,1798,Won against Similar Rating,C42,Resignation/Checkmate,bullet,2021.02.25,2/10/2023 8:16,Standard,Petrov's Defense,1819,8,morning,morning
861,Rated Blitz game,2021.02.23,HeronAG,Jay_1999,Lost,2184,3,2027,-3,HeronAG,2184,Jay_1999,2027,Lost against very high rated player,B12,Time forfeit,blitz,2021.02.23,2/10/2023 15:08,Standard,Caro-Kann Defense,2027,15,afternoon,afternoon
862,Rated Blitz game,2021.02.23,chesskasprof,Jay_1999,Won,2078,-7,2020,7,Jay_1999,2020,chesskasprof,2078,Won agaist high rated player,B23,Resignation/Checkmate,blitz,2021.02.23,2/10/2023 12:35,Standard,Sicillian Defense,2027,12,afternoon,afternoon
863,Rated Blitz game,2021.02.23,firerook,Jay_1999,Won,1975,-5,2015,5,Jay_1999,2015,firerook,1975,Won against Similar Rating,A85,Resignation/Checkmate,blitz,2021.02.23,2/10/2023 12:25,Standard,Benko Gambit,2020,12,afternoon,afternoon
864,Rated Blitz game,2021.02.23,Jay_1999,mplus,Won,2009,6,2009,-6,Jay_1999,2009,mplus,2009,0,C38,Time forfeit,blitz,2021.02.23,2/10/2023 11:37,Standard,King's Gambit,2015,11,morning,morning
865,Rated Blitz game,2021.02.23,Jay_1999,EVGENY_ALEXANDROVIC,Won,2004,5,1941,-5,Jay_1999,2004,EVGENY_ALEXANDROVIC,1941,Won agaist high rated player,B30,Time forfeit,blitz,2021.02.23,2/10/2023 11:24,Standard,Sicillian Defense,2009,11,morning,morning
866,Rated Blitz game,2021.02.23,Marsono_Jepara,Jay_1999,Won,1966,-6,1998,6,Jay_1999,1998,Marsono_Jepara,1966,Won against Similar Rating,E51,Resignation/Checkmate,blitz,2021.02.23,2/10/2023 5:50,Standard,Nimzo-Indian Defense,2004,5,night,night
867,Rated Blitz game,2021.02.20,Jay_1999,swazimelo,Won,1993,5,1956,-5,Jay_1999,1993,swazimelo,1956,Won against Similar Rating,B00,Time forfeit,blitz,2021.02.20,2/10/2023 10:01,Standard,Mixed of opening I usually not played,1998,10,morning,morning
868,Rated Blitz game,2021.02.19,Doppelnull-180,Jay_1999,Lost,2059,5,1998,-5,Doppelnull-180,2059,Jay_1999,1998,Lost agaist high rated player,A20,Resignation/Checkmate,blitz,2021.02.19,2/10/2023 18:38,Standard,English Opening,1998,18,evening,evening
869,Rated Blitz game,2021.02.13,Jay_1999,ssamardzic1996,Lost,2004,-6,1971,6,ssamardzic1996,1971,Jay_1999,2004,Lost against Similar Rating,C89,Resignation/Checkmate,blitz,2021.02.13,2/10/2023 12:14,Standard,Ruy Lopez (Spanish Opening),2004,12,afternoon,afternoon
870,Rated Blitz game,2021.02.13,j-heidari2021,Jay_1999,Won,1972,-7,1999,5,Jay_1999,1999,j-heidari2021,1972,Won against Similar Rating,A02,Resignation/Checkmate,blitz,2021.02.13,2/10/2023 11:55,Standard,Bird's Opening,2004,11,morning,morning
871,Rated Blitz game,2021.02.13,Anuar-89,Jay_1999,Won,1984,-6,1993,6,Jay_1999,1993,Anuar-89,1984,Won against Similar Rating,B23,Resignation/Checkmate,blitz,2021.02.13,2/10/2023 11:41,Standard,Sicillian Defense,1999,11,morning,morning
