,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
778,Rated Blitz game,2021.03.08,Jay_1999,s0815,Lost,2006,-6,1979,6,s0815,1979,Jay_1999,2006,Lost against Similar Rating,C07,Resignation/Checkmate,blitz,2021.03.08,2/10/2023 8:52,Standard,French Defense,2006,8,morning,morning
779,Rated Blitz game,2021.03.08,s0815,Jay_1999,Lost,1972,7,2012,-6,s0815,1972,Jay_1999,2012,Lost against Similar Rating,B20,Resignation/Checkmate,blitz,2021.03.08,2/10/2023 8:47,Standard,Sicillian Defense,2012,8,morning,morning
780,Rated Blitz game,2021.03.08,Jay_1999,E1D1W,Won,2008,4,1960,-19,Jay_1999,2008,E1D1W,1960,Won against Similar Rating,C71,Resignation/Checkmate,blitz,2021.03.08,2/10/2023 8:36,Standard,Ruy Lopez (Spanish Opening),2012,8,morning,morning
781,Rated Blitz game,2021.03.08,Jay_1999,Street-Fighter,Won,1999,9,2151,-8,Jay_1999,1999,Street-Fighter,2151,Won against very high rated player,C01,Resignation/Checkmate,blitz,2021.03.08,2/10/2023 8:18,Standard,French Defense,2008,8,morning,morning
782,Rated Blitz game,2021.03.07,Serhij,Jay_1999,Lost,1955,8,2006,-7,Serhij,1955,Jay_1999,2006,Lost agaist high rated player,B10,Resignation/Checkmate,blitz,2021.03.07,2/10/2023 14:14,Standard,Caro-Kann Defense,2006,14,afternoon,afternoon
783,Rated Blitz game,2021.03.06,Alexsandr2000,Jay_1999,Won,2040,-6,1999,7,Jay_1999,1999,Alexsandr2000,2040,Won against Similar Rating,B23,Resignation/Checkmate,blitz,2021.03.06,2/10/2023 18:13,Standard,Sicillian Defense,2006,18,evening,evening
784,Rated Blitz game,2021.03.06,Jay_1999,Zhuman,Won,1995,4,1892,-4,Jay_1999,1995,Zhuman,1892,Won against very high rated player,B43,Resignation/Checkmate,blitz,2021.03.06,2/10/2023 18:06,Standard,Sicillian Defense,1999,18,evening,evening
785,Rated Blitz game,2021.03.06,nikolay42af,Jay_1999,Won,1897,-4,1991,4,Jay_1999,1991,nikolay42af,1897,Won agaist high rated player,A50,Time forfeit,blitz,2021.03.06,2/10/2023 9:32,Standard,Queen's Pawn' Opening,1995,9,morning,morning
786,Rated Blitz game,2021.03.06,gambitrolski,Jay_1999,Won,1901,-4,1986,5,Jay_1999,1986,gambitrolski,1901,Won agaist high rated player,D45,Resignation/Checkmate,blitz,2021.03.06,2/10/2023 9:02,Standard,Mixed of opening I usually not played,1991,9,morning,morning
787,Rated Blitz game,2021.03.06,Jay_1999,DSSPLore,Won,1980,6,2013,-6,Jay_1999,1980,DSSPLore,2013,Won against Similar Rating,B90,Resignation/Checkmate,blitz,2021.03.06,2/10/2023 8:43,Standard,Sicillian Defense,1986,8,morning,morning
788,Rated Blitz game,2021.03.05,Jay_1999,Yellow-Raven,Lost,1984,-4,2067,4,Yellow-Raven,2067,Jay_1999,1984,Lost agaist high rated player,C43,Resignation/Checkmate,blitz,2021.03.05,2/10/2023 7:19,Standard,Petrov's Defense,1984,7,morning,morning
789,Rated Blitz game,2021.03.04,Jay_1999,KingMartinio,Lost,1989,-5,2018,6,KingMartinio,2018,Jay_1999,1989,Lost against Similar Rating,B01,Resignation/Checkmate,blitz,2021.03.04,2/10/2023 18:51,Standard,Scandinavian Defense,1989,18,evening,evening
790,Rated Blitz game,2021.03.04,ArtemVavrenyuk,Jay_1999,Lost,1938,7,1996,-7,ArtemVavrenyuk,1938,Jay_1999,1996,Lost agaist high rated player,B55,Resignation/Checkmate,blitz,2021.03.04,2/10/2023 9:03,Standard,Sicillian Defense,1996,9,morning,morning
791,Rated Blitz game,2021.03.03,Jay_1999,bassan13,Lost,2000,-4,2108,5,bassan13,2108,Jay_1999,2000,Lost against very high rated player,B01,Resignation/Checkmate,blitz,2021.03.03,2/10/2023 17:52,Standard,Scandinavian Defense,2000,17,afternoon,afternoon
792,Rated Blitz game,2021.03.03,Hendry_Agustian,Jay_1999,Lost,2071,5,2004,-4,Hendry_Agustian,2071,Jay_1999,2004,Lost agaist high rated player,B21,Resignation/Checkmate,blitz,2021.03.03,2/10/2023 17:41,Standard,Sicillian Defense,2004,17,afternoon,afternoon
793,Rated Blitz game,2021.03.03,Jay_1999,Jeremy1,Lost,2011,-7,1978,6,Jeremy1,1978,Jay_1999,2011,Lost against Similar Rating,B90,Resignation/Checkmate,blitz,2021.03.03,2/10/2023 17:27,Standard,Sicillian Defense,2011,17,afternoon,afternoon
794,Rated Blitz game,2021.03.03,Jeremy1,Jay_1999,Draw,1977,1,2011,0,draw,0,draw,0,Draw Game,B11,Resignation/Checkmate,blitz,2021.03.03,2/10/2023 17:16,Standard,Caro-Kann Defense,,17,afternoon,afternoon
795,Rated Blitz game,2021.03.03,louis2403,Jay_1999,Lost,2095,5,2016,-5,louis2403,2095,Jay_1999,2016,Lost agaist high rated player,B13,Resignation/Checkmate,blitz,2021.03.03,2/10/2023 10:03,Standard,Caro-Kann Defense,2016,10,morning,morning
796,Rated Blitz game,2021.03.02,Jay_1999,SergioMataac,Lost,2021,-5,2012,6,SergioMataac,2012,Jay_1999,2021,Lost against Similar Rating,B90,Time forfeit,blitz,2021.03.02,2/10/2023 19:09,Standard,Sicillian Defense,2021,19,evening,evening
797,Rated Blitz game,2021.03.02,Jay_1999,Derhogi,Won,2015,6,2055,-6,Jay_1999,2015,Derhogi,2055,Won against Similar Rating,C41,Resignation/Checkmate,blitz,2021.03.02,2/10/2023 18:36,Standard,Philidor's Defense,2021,18,evening,evening
798,Rated Blitz game,2021.03.02,Dangerously,Jay_1999,Draw,1996,0,2015,0,draw,0,draw,0,Draw Game,C46,Resignation/Checkmate,blitz,2021.03.02,2/10/2023 16:15,Standard,Three Knights Game,,16,afternoon,afternoon
799,Rated Blitz game,2021.03.02,Jay_1999,pawnsacrifice1234,Won,2011,4,1905,-4,Jay_1999,2011,pawnsacrifice1234,1905,Won against very high rated player,B13,Time forfeit,blitz,2021.03.02,2/10/2023 8:59,Standard,Caro-Kann Defense,2015,8,morning,morning
800,Rated Blitz game,2021.03.02,Oidhcheach,Jay_1999,Won,1984,-6,2005,6,Jay_1999,2005,Oidhcheach,1984,Won against Similar Rating,B10,Resignation/Checkmate,blitz,2021.03.02,2/10/2023 8:49,Standard,Caro-Kann Defense,2011,8,morning,morning
801,Rated Blitz game,2021.03.01,Jay_1999,SmaraChess,Lost,2013,-8,1878,8,SmaraChess,1878,Jay_1999,2013,Lost against very high rated player,C62,Resignation/Checkmate,blitz,2021.03.01,2/10/2023 12:04,Standard,Ruy Lopez (Spanish Opening),2013,12,afternoon,afternoon
802,Casual Blitz game,2021.02.28,Jay_1999,tigu_dave,Lost,2013,0,1830,0,tigu_dave,1830,Jay_1999,2013,Lost against very high rated player,A05,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 18:41,Standard,Reti Opening,,18,evening,evening
803,Casual Blitz game,2021.02.28,tigu_dave,Jay_1999,Won,1830,0,2013,0,Jay_1999,2013,tigu_dave,1830,Won against very high rated player,A46,Time forfeit,blitz,2021.02.28,2/10/2023 18:28,Standard,Queen's Pawn' Opening,,18,evening,evening
804,Casual Blitz game,2021.02.28,Jay_1999,tigu_dave,Lost,2013,0,1830,0,tigu_dave,1830,Jay_1999,2013,Lost against very high rated player,B32,Time forfeit,blitz,2021.02.28,2/10/2023 18:19,Standard,Sicillian Defense,,18,evening,evening
805,Casual Blitz game,2021.02.28,tigu_dave,Jay_1999,Won,1830,0,2013,0,Jay_1999,2013,tigu_dave,1830,Won against very high rated player,D02,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 18:16,Standard,London System,,18,evening,evening
806,Casual Blitz game,2021.02.28,Jay_1999,tigu_dave,Lost,2013,0,1830,0,tigu_dave,1830,Jay_1999,2013,Lost against very high rated player,A48,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 18:06,Standard,"King's Indian, East Indian Defense",,18,evening,evening
807,Rated Blitz game,2021.02.28,Aluminum_Misting,Jay_1999,Lost,2025,6,2019,-6,Aluminum_Misting,2025,Jay_1999,2019,Lost against Similar Rating,B12,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 16:31,Standard,Caro-Kann Defense,2019,16,afternoon,afternoon
808,Rated Blitz game,2021.02.28,Jay_1999,maziz123,Won,2012,7,2061,-7,Jay_1999,2012,maziz123,2061,Won against Similar Rating,B01,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 16:17,Standard,Scandinavian Defense,2019,16,afternoon,afternoon
809,Rated Blitz game,2021.02.28,gighenzero,Jay_1999,Won,1998,-6,2007,5,Jay_1999,2007,gighenzero,1998,Won against Similar Rating,D51,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 16:13,Standard,Mixed of opening I usually not played,2012,16,afternoon,afternoon
810,Rated Blitz game,2021.02.28,Jay_1999,zeiadelsaid,Won,2001,6,1988,-6,Jay_1999,2001,zeiadelsaid,1988,Won against Similar Rating,B06,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 16:10,Standard,Mixed of opening I usually not played,2007,16,afternoon,afternoon
811,Rated Rapid game,2021.02.28,Jay_1999,D_Samy,Lost,2232,-23,2130,8,D_Samy,2130,Jay_1999,2232,Lost against very high rated player,C89,Resignation/Checkmate,rapid,2021.02.28,2/10/2023 15:14,Standard,Ruy Lopez (Spanish Opening),2232,15,afternoon,afternoon
812,Rated Blitz game,2021.02.28,meisternicknepo,Jay_1999,Lost,1888,8,2008,-7,meisternicknepo,1888,Jay_1999,2008,Lost against very high rated player,E60,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 14:37,Standard,King's Indian Defense,2008,14,afternoon,afternoon
813,Rated Blitz game,2021.02.28,Jay_1999,shcher,Won,2005,3,1874,-4,Jay_1999,2005,shcher,1874,Won against very high rated player,B13,Time forfeit,blitz,2021.02.28,2/10/2023 14:25,Standard,Caro-Kann Defense,2008,14,afternoon,afternoon
814,Rated Blitz game,2021.02.28,Bayazeed,Jay_1999,Won,1930,-5,2000,5,Jay_1999,2000,Bayazeed,1930,Won agaist high rated player,B10,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 11:01,Standard,Caro-Kann Defense,2005,11,morning,morning
815,Rated Blitz game,2021.02.28,RookofAsia,Jay_1999,Won,2046,-7,1993,7,Jay_1999,1993,RookofAsia,2046,Won agaist high rated player,D46,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 10:59,Standard,Mixed of opening I usually not played,2000,10,morning,morning
816,Rated Blitz game,2021.02.28,ThreeDeuce,Jay_1999,Lost,2047,5,1998,-5,ThreeDeuce,2047,Jay_1999,1998,Lost against Similar Rating,A07,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 10:41,Standard,Reti Opening,1998,10,morning,morning
817,Rated Blitz game,2021.02.28,Jay_1999,tho_wei,Draw,1998,0,2026,0,draw,0,draw,0,Draw Game,C00,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 10:09,Standard,French Defense,,10,morning,morning
818,Rated Blitz game,2021.02.28,Jay_1999,Taxi-Driver,Lost,2003,-5,2019,5,Taxi-Driver,2019,Jay_1999,2003,Lost against Similar Rating,A00,Time forfeit,blitz,2021.02.28,2/10/2023 9:47,Standard,Benko Opening,2003,9,morning,morning
819,Rated Blitz game,2021.02.28,Jay_1999,MichyArt,Draw,2004,-1,1963,1,draw,0,draw,0,Draw Game,C41,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 9:31,Standard,Philidor's Defense,,9,morning,morning
820,Rated Blitz game,2021.02.28,gaudeamus14,Jay_1999,Won,1944,-5,1999,5,Jay_1999,1999,gaudeamus14,1944,Won agaist high rated player,B01,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 9:26,Standard,Scandinavian Defense,2004,9,morning,morning
821,Rated Blitz game,2021.02.28,Jay_1999,akopaba,Won,1993,6,1995,-6,Jay_1999,1993,akopaba,1995,Won against Similar Rating,B00,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 9:19,Standard,Mixed of opening I usually not played,1999,9,morning,morning
822,Rated Blitz game,2021.02.28,akopaba,Jay_1999,Won,2001,-6,1987,6,Jay_1999,1987,akopaba,2001,Won against Similar Rating,A02,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 9:11,Standard,Bird's Opening,1993,9,morning,morning
823,Rated Blitz game,2021.02.28,Jay_1999,volodyaamirov,Lost,1992,-5,2029,5,volodyaamirov,2029,Jay_1999,1992,Lost against Similar Rating,C65,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 9:05,Standard,Ruy Lopez (Spanish Opening),1992,9,morning,morning
824,Rated Blitz game,2021.02.28,WSerg,Jay_1999,Won,1968,-5,1986,6,Jay_1999,1986,WSerg,1968,Won against Similar Rating,A00,Resignation/Checkmate,blitz,2021.02.28,2/10/2023 9:00,Standard,Benko Opening,1992,9,morning,morning
825,Rated Blitz game,2021.02.27,kirithalani,Jay_1999,Lost,1900,8,1993,-7,kirithalani,1900,Jay_1999,1993,Lost agaist high rated player,B23,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 8:07,Standard,Sicillian Defense,1993,8,morning,morning
826,Rated Blitz game,2021.02.27,Jay_1999,Sakira09,Lost,1999,-6,2010,6,Sakira09,2010,Jay_1999,1999,Lost against Similar Rating,D02,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 8:00,Standard,London System,1999,8,morning,morning
827,Rated Blitz game,2021.02.27,Jay_1999,garnt,Lost,2003,-4,2109,4,garnt,2109,Jay_1999,2003,Lost against very high rated player,B08,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 7:51,Standard,Mixed of opening I usually not played,2003,7,morning,morning
828,Eastern Blitz Arena,2021.02.27,Jay_1999,Doctor22Mankabady,Lost,2011,-8,1878,8,Doctor22Mankabady,1878,Jay_1999,2011,Lost against very high rated player,B07,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 7:42,Standard,Mixed of opening I usually not played,2011,7,morning,morning
829,Eastern Blitz Arena,2021.02.27,Artur19712905,Jay_1999,Won,1188,0,2011,0,Jay_1999,2011,Artur19712905,1188,Won against very high rated player,B10,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 7:41,Standard,Caro-Kann Defense,2011,7,morning,morning
830,Eastern Blitz Arena,2021.02.27,Jay_1999,Adityadum,Lost,2019,-8,1841,9,Adityadum,1841,Jay_1999,2019,Lost against very high rated player,C61,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 7:33,Standard,Ruy Lopez (Spanish Opening),2019,7,morning,morning
831,Rated Blitz game,2021.02.27,SemenyakDanil,Jay_1999,Lost,2004,6,2025,-6,SemenyakDanil,2004,Jay_1999,2025,Lost against Similar Rating,D03,Resignation/Checkmate,blitz,2021.02.27,2/10/2023 6:38,Standard,Mixed of opening I usually not played,2025,6,morning,morning
832,Rated Blitz game,2021.02.26,Samir1958,Jay_1999,Lost,2118,5,2029,-4,Samir1958,2118,Jay_1999,2029,Lost agaist high rated player,B30,Time forfeit,blitz,2021.02.26,2/10/2023 19:41,Standard,Sicillian Defense,2029,19,evening,evening
833,Rated Blitz game,2021.02.26,Jay_1999,jorgeleon,Won,2024,5,2002,-6,Jay_1999,2024,jorgeleon,2002,Won against Similar Rating,D02,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 19:36,Standard,London System,2029,19,evening,evening
834,Rated Blitz game,2021.02.26,Jay_1999,Abu_Faris,Lost,2029,-5,2072,5,Abu_Faris,2072,Jay_1999,2029,Lost against Similar Rating,B01,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 19:22,Standard,Scandinavian Defense,2029,19,evening,evening
835,Rated Blitz game,2021.02.26,Jay_1999,VLASTb,Won,2023,6,2026,-6,Jay_1999,2023,VLASTb,2026,Won against Similar Rating,B01,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 19:15,Standard,Scandinavian Defense,2029,19,evening,evening
836,Rated Blitz game,2021.02.26,VLASTb,Jay_1999,Lost,2020,6,2029,-6,VLASTb,2020,Jay_1999,2029,Lost against Similar Rating,D06,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 19:09,Standard,Mixed of opening I usually not played,2029,19,evening,evening
837,Rated Blitz game,2021.02.26,Jay_1999,leffe80,Won,2021,8,2109,-7,Jay_1999,2021,leffe80,2109,Won agaist high rated player,C40,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 19:06,Standard,King's Knight Opening,2029,19,evening,evening
838,Rated Blitz game,2021.02.26,stad07,Jay_1999,Won,1913,-4,2017,4,Jay_1999,2017,stad07,1913,Won against very high rated player,B32,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 19:03,Standard,Sicillian Defense,2021,19,evening,evening
839,Rated Blitz game,2021.02.26,Jay_1999,nandavyas,Lost,2024,-7,1967,7,nandavyas,1967,Jay_1999,2024,Lost agaist high rated player,B32,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 18:57,Standard,Sicillian Defense,2024,18,evening,evening
840,Rated Blitz game,2021.02.26,Jay_1999,MaksimKan00000,Won,2019,5,1994,-57,Jay_1999,2019,MaksimKan00000,1994,Won against Similar Rating,B01,Resignation/Checkmate,blitz,2021.02.26,2/10/2023 9:41,Standard,Scandinavian Defense,2024,9,morning,morning
841,Hourly SuperBlitz Arena,2021.02.25,matecontorres,Jay_1999,Lost,1855,8,2027,-8,matecontorres,1855,Jay_1999,2027,Lost against very high rated player,B13,Time forfeit,blitz,2021.02.25,2/10/2023 19:43,Standard,Caro-Kann Defense,2027,19,evening,evening
842,Hourly SuperBlitz Arena,2021.02.25,Jay_1999,Virgiliouno,Draw,2026,1,2093,-1,draw,0,draw,0,Draw Game,C00,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 19:37,Standard,French Defense,,19,evening,evening
843,Hourly SuperBlitz Arena,2021.02.25,Philip_XIII,Jay_1999,Won,1424,0,2026,0,Jay_1999,2026,Philip_XIII,1424,Won against very high rated player,B10,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 19:33,Standard,Caro-Kann Defense,2026,19,evening,evening
844,Hourly SuperBlitz Arena,2021.02.25,Badou07,Jay_1999,Won,1959,-5,2021,5,Jay_1999,2021,Badou07,1959,Won agaist high rated player,D02,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 19:30,Standard,London System,2026,19,evening,evening
845,Hourly SuperBlitz Arena,2021.02.25,Jay_1999,jomeltan_ace14,Won,2014,7,2050,-8,Jay_1999,2014,jomeltan_ace14,2050,Won against Similar Rating,C67,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 19:28,Standard,Ruy Lopez (Spanish Opening),2021,19,evening,evening
846,Casual Blitz game,2021.02.25,tigu_dave,Jay_1999,Won,1836,0,2014,0,Jay_1999,2014,tigu_dave,1836,Won against very high rated player,D45,Time forfeit,blitz,2021.02.25,2/10/2023 17:53,Standard,Mixed of opening I usually not played,,17,afternoon,afternoon
847,Casual Blitz game,2021.02.25,Jay_1999,tigu_dave,Won,2014,0,1836,0,Jay_1999,2014,tigu_dave,1836,Won against very high rated player,A80,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 17:52,Standard,Benko Gambit,,17,afternoon,afternoon
848,Casual Blitz game,2021.02.25,Jay_1999,tigu_dave,Won,2014,0,1836,0,Jay_1999,2014,tigu_dave,1836,Won against very high rated player,B32,Resignation/Checkmate,rapid,2021.02.25,2/10/2023 17:32,Standard,Sicillian Defense,,17,afternoon,afternoon
849,Daily SuperBlitz Arena,2021.02.25,BORJUx20,Jay_1999,Lost,1841,9,2023,-9,BORJUx20,1841,Jay_1999,2023,Lost against very high rated player,B10,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 17:24,Standard,Caro-Kann Defense,2023,17,afternoon,afternoon
850,Rated Blitz game,2021.02.25,varunvarma95,Jay_1999,Won,1967,-5,2018,5,Jay_1999,2018,varunvarma95,1967,Won agaist high rated player,B12,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 16:25,Standard,Caro-Kann Defense,2023,16,afternoon,afternoon
851,Rated Bullet game,2021.02.25,ehabfathy,Jay_1999,Won,1856,-6,1835,18,Jay_1999,1835,ehabfathy,1856,Won against Similar Rating,A43,Time forfeit,bullet,2021.02.25,2/10/2023 14:38,Standard,Old Benoni Defense,1853,14,afternoon,afternoon
852,Rated Blitz game,2021.02.25,Jay_1999,jrrubistein,Draw,2017,1,2033,0,draw,0,draw,0,Draw Game,B58,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 14:21,Standard,Sicillian Defense,,14,afternoon,afternoon
853,Rated Blitz game,2021.02.25,crazyblue29,Jay_1999,Lost,2155,4,2021,-4,crazyblue29,2155,Jay_1999,2021,Lost against very high rated player,B15,Time forfeit,blitz,2021.02.25,2/10/2023 14:05,Standard,Caro-Kann Defense,2021,14,afternoon,afternoon
854,Rated Blitz game,2021.02.25,MiltonDuque,Jay_1999,Won,2022,-6,2015,6,Jay_1999,2015,MiltonDuque,2022,Won against Similar Rating,A53,Time forfeit,blitz,2021.02.25,2/10/2023 13:54,Standard,Old Indian Defense,2021,13,afternoon,afternoon
855,Rated Blitz game,2021.02.25,Jay_1999,MiltonDuque,Lost,2021,-6,2016,6,MiltonDuque,2016,Jay_1999,2021,Lost against Similar Rating,B12,Resignation/Checkmate,blitz,2021.02.25,2/10/2023 13:48,Standard,Caro-Kann Defense,2021,13,afternoon,afternoon
